company,year,net_income_millions
Amazon,2021,33364
Amazon,2020,21331
Amazon,2019,11588
Amazon,2018,10073
Amazon,2017,3033
Amazon,2016,2371
Amazon,2015,596
Amazon,2014,-241
Amazon,2013,274
Amazon,2012,-39
Amazon,2011,631
Amazon,2010,1152
Amazon,2009,902
Apple,2021,94680
Apple,2020,57411
Apple,2019,55256
Apple,2018,59531
Apple,2017,48351
Apple,2016,45687
Apple,2015,53394
Apple,2014,39510
Apple,2013,37037
Apple,2012,41733
Apple,2011,25922
Apple,2010,14013
Apple,2009,8235
Alphabet,2021,76033
Alphabet,2020,40269
Alphabet,2019,34343
Alphabet,2018,30736
Alphabet,2017,12662
Alphabet,2016,19478
Alphabet,2015,15826
Alphabet,2014,14136
Alphabet,2013,12733
Alphabet,2012,10737
Alphabet,2011,9737
Alphabet,2010,8505
Alphabet,2009,6520
Meta,2021,39370
Meta,2020,29146
Meta,2019,18485
Meta,2018,22111
Meta,2017,15920
Meta,2016,10188
Meta,2015,3669
Meta,2014,2925
Meta,2013,1491
Meta,2012,32
Meta,2011,668
Meta,2010,372
Meta,2009,122